example_id                                                           | status  | run_time        |
./spec/models/nsb/demand_ranking_spec.rb[1:4:4]                      | passed  | 0.62407 seconds |
./spec/models/nsb/demand_ranking_spec.rb[1:5:1]                      | passed  | 0.58646 seconds |
./spec/models/nsb/demand_ranking_spec.rb[1:5:2]                      | passed  | 0.58709 seconds |
./spec/models/nsb/demand_ranking_spec.rb[1:6:1]                      | passed  | 0.6882 seconds  |
./spec/models/nsb/demand_ranking_spec.rb[1:6:2]                      | passed  | 0.60742 seconds |
./spec/models/nsb/domain_status_spec.rb[1:1:1]                       | passed  | 0.25317 seconds |
./spec/models/nsb/domain_status_spec.rb[1:1:2]                       | passed  | 0.03363 seconds |
./spec/models/nsb/domain_status_spec.rb[1:2:1]                       | passed  | 0.68846 seconds |
./spec/models/nsb/domain_status_spec.rb[1:2:2]                       | passed  | 0.09755 seconds |
./spec/models/nsb/domain_status_spec.rb[1:3:1]                       | passed  | 0.0236 seconds  |
./spec/models/nsb/domain_status_spec.rb[1:3:2]                       | passed  | 0.00972 seconds |
./spec/models/nsb/domain_status_spec.rb[1:3:3]                       | passed  | 0.00509 seconds |
./spec/models/nsb/domain_status_spec.rb[1:4:1:1]                     | passed  | 0.0005 seconds  |
./spec/models/nsb/domain_status_spec.rb[1:4:2:1]                     | passed  | 0.17645 seconds |
./spec/models/nsb/phone_number_spec.rb[1:1:1]                        | passed  | 0.00024 seconds |
./spec/models/nsb/phone_number_spec.rb[1:1:2]                        | passed  | 0.01116 seconds |
./spec/models/nsb/phone_number_spec.rb[1:1:3]                        | passed  | 0.00087 seconds |
./spec/models/nsb/phone_number_spec.rb[1:1:4]                        | passed  | 0.00037 seconds |
./spec/models/nsb/queue_health_spec.rb[1:1:1]                        | passed  | 0.02768 seconds |
./spec/models/nsb/queue_health_spec.rb[1:1:2]                        | passed  | 0.02828 seconds |
./spec/models/nsb/queue_health_spec.rb[1:2:1]                        | passed  | 1.14 seconds    |
./spec/models/nsb/queue_health_spec.rb[1:2:2:1]                      | passed  | 0.00343 seconds |
